month_start,revenue,profit,orders,customers,margin_pct,mom_growth_pct
2022-01-01,104830588.11,20124350.17,1882,1526,19.197021148906728,
2022-02-01,100360396.41,18935218.23,1795,1470,18.867221441258952,-4.264205496309314
2022-03-01,101876209.79,19816698.49,1987,1601,19.451742983812075,1.5103700605241688
2022-04-01,110530113.36,20830999.19,1937,1590,18.846446960705443,8.49452839660849
2022-05-01,105993882.14,19086810.49,1905,1553,18.007464303260022,-4.104068187486021
2022-06-01,96062543.94,17803190.38,1712,1441,18.532915796108572,-9.369727761157364
2022-07-01,96004166.93,17922597.12,1635,1364,18.66856168135701,-0.06076979393389026
2022-08-01,90139699.49,16928159.79,1542,1294,18.77991593690413,-6.108555104984137
2022-09-01,78319593.26,14976065.96,1489,1272,19.121736128382953,-13.113097000408015
2022-10-01,87650614.32,15931821.67,1573,1334,18.176508851193184,11.91403156171087
2022-11-01,87139384.63,15753993.63,1512,1287,18.079073770020955,-0.583258536139375
2022-12-01,96492488.17,17471337.24,1736,1478,18.10642213849754,10.733497349922704
2023-01-01,113921074.56,20617469.37,1956,1601,18.09802922736757,18.062117290720494
2023-02-01,102622840.49,18413624.44,1824,1495,17.943007962047496,-9.917597875228479
2023-03-01,119930267.07,22779976.34,2116,1691,18.994351381460657,16.865082370904073
2023-04-01,110099362.51,19780177.93,2009,1615,17.965751553015053,-8.197183913767125
2023-05-01,108724646.29,19032950.49,1997,1625,17.505644892358283,-1.2486141505816062
2023-06-01,97932058.84,17923617.52,1794,1484,18.302094056128595,-9.926532592447401
2023-07-01,99595056.75,18626279.73,1723,1428,18.7020122662865,1.6981139064144335
2023-08-01,94954010.49,17601295.08,1691,1433,18.536652627066935,-4.659916276417009
2023-09-01,83905530.01,15263440.4,1567,1332,18.191221005553363,-11.635612253748405
2023-10-01,94079714.84,17630060.18,1627,1372,18.739491515235972,12.125761947737445
2023-11-01,96369620.27,17428755.25,1782,1499,18.085321080616104,2.4340054961841773
2023-12-01,97624235.67,17964726.33,1854,1536,18.401912400857416,1.3018785344229178
2024-01-01,119993887.18,21322302.64,2072,1707,17.769490714151893,22.914034979609287
2024-02-01,117883618.63,22037883.9,2059,1679,18.694610969799,-1.7586467107565618
2024-03-01,121819650.75,22766005.79,2228,1788,18.68828686491699,3.3389135536753267
2024-04-01,112777230.43,20938939.58,2112,1695,18.566637520857228,-7.42279284526679
2024-05-01,115058477.05,21265695.3,2025,1624,18.48251067216781,2.0227900714550273
2024-06-01,97651817.19,17993446.3,1901,1574,18.426125409412876,-15.12853316530144
2024-07-01,104064337.69,19111182.78,1855,1519,18.364776256906385,6.566719068343851
2024-08-01,98653854.67999999,18674576.89,1766,1481,18.929394042000755,-5.199171137875725
2024-09-01,86543471.76,15869543.1,1613,1369,18.337077051876292,-12.275630748825783
2024-10-01,92344630.12,17500346.69,1640,1397,18.95112543875984,6.703172685384762
2024-11-01,102492768.07,19075158.23,1772,1476,18.61122359088999,10.989418590786148
2024-12-01,110810562.06,20449679.68,1969,1609,18.454630406916646,8.115493557866603
2025-01-01,120175953.43,23173322.66,2122,1689,19.282828218623603,8.451713623588496
2025-02-01,116146193.83,21702979.21,2028,1638,18.685915133616913,-3.353216250826141
2025-03-01,127052345.59,23527637.1,2293,1829,18.518065912709766,9.390020800821963
2025-04-01,122996774.49,22975655.78,2191,1752,18.67988479800988,-3.1920474046873593
2025-05-01,125453464.84,23467052.6,2195,1742,18.705782761703116,1.9973616057709975
2025-06-01,109413682.7,20259018.56,1984,1612,18.515982699849292,-12.785443718478973
2025-07-01,108817083.36,20212934.91,1924,1573,18.575148575825605,-0.5452694080646303
2025-08-01,105629358.49,19748922.3,1817,1496,18.696433058305136,-2.9294342134258855
2025-09-01,98940427.2,19145078.01,1717,1442,19.350106474979928,-6.332454712988945
2025-10-01,108557759.63,20115862.68,1865,1523,18.530101163252976,9.720326364226572
2025-11-01,97895962.23,17725275.51,1779,1474,18.106237587568376,-9.821313037721902
2025-12-01,116881149.44,21869491.1,2079,1671,18.710879559946942,19.393228053058586
