table,column,rows,missing_count,missing_pct,unique_count,dtype
customers,customer_id,7500,0,0.0,7500,object
customers,customer_name,7500,0,0.0,360,object
customers,gender,7500,0,0.0,3,object
customers,age,7500,0,0.0,59,int64
customers,city,7500,0,0.0,63,object
customers,state,7500,120,1.6,17,object
customers,customer_segment,7500,0,0.0,3,object
customers,acquisition_date,7500,0,0.0,1196,object
products,product_id,750,0,0.0,750,object
products,product_name,750,0,0.0,749,object
products,category,750,0,0.0,10,object
products,subcategory,750,0,0.0,35,object
products,brand,750,0,0.0,10,object
products,unit_cost,750,0,0.0,750,float64
products,selling_price,750,0,0.0,750,float64
stores,store_id,40,0,0.0,40,object
stores,store_name,40,0,0.0,40,object
stores,city,40,0,0.0,19,object
stores,state,40,0,0.0,16,object
stores,region,40,0,0.0,9,object
stores,channel,40,0,0.0,3,object
orders,order_id,90100,0,0.0,90000,object
orders,order_date,90100,0,0.0,1461,datetime64[ns]
orders,customer_id,90100,0,0.0,7162,object
orders,product_id,90100,0,0.0,749,object
orders,store_id,90100,0,0.0,40,object
orders,quantity,90100,0,0.0,23,int64
orders,unit_price,90100,0,0.0,88448,float64
orders,discount_pct,90100,0,0.0,2556,float64
orders,sales_amount,90100,0,0.0,89371,float64
orders,cost_amount,90100,0,0.0,6406,float64
orders,profit,90100,0,0.0,86574,float64
orders,return_flag,90100,0,0.0,2,bool
orders,payment_method,90100,0,0.0,12,object
orders,order_status,90100,0,0.0,4,object
orders,shipping_cost,90100,0,0.0,30521,float64
